compound,headgroup,chain1_n,chain2_n,formula,neutral_mass,adduct,target_mz
diacyl-lysine-3OH-C15:0/C12:0,lysine,15,12,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-ornithine-3OH-C14:0/C14:0,ornithine,14,14,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-ornithine-3OH-C16:0/C12:0,ornithine,16,12,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-ornithine-3OH-C12:0/C16:0,ornithine,12,16,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-ornithine-3OH-C10:0/C18:0,ornithine,10,18,C33H64N2O5,568.4815231625,[M+Na]+,591.4707438625001
diacyl-ornithine-3OH-C18:0/C12:0,ornithine,18,12,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-lysine-3OH-C14:0/C15:0,lysine,14,15,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-ornithine-3OH-C15:0/C15:0,ornithine,15,15,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-lysine-3OH-C15:0/C14:0,lysine,15,14,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-lysine-3OH-C17:0/C12:0,lysine,17,12,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-ornithine-3OH-C14:0/C16:0,ornithine,14,16,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-ornithine-3OH-C16:0/C14:0,ornithine,16,14,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-lysine-3OH-C12:0/C17:0,lysine,12,17,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-ornithine-3OH-C12:0/C18:0,ornithine,12,18,C35H68N2O5,596.5128232901001,[M+H]+,597.5200997420001
diacyl-lysine-3OH-C18:0/C10:0,lysine,18,10,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-ornithine-3OH-C12:0/C17:0,ornithine,12,17,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-lysine-3OH-C16:0/C12:0,lysine,16,12,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-lysine-3OH-C10:0/C18:0,lysine,10,18,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-lysine-3OH-C14:0/C14:0,lysine,14,14,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-ornithine-3OH-C17:0/C12:0,ornithine,17,12,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-lysine-3OH-C12:0/C16:0,lysine,12,16,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-ornithine-3OH-C14:0/C15:0,ornithine,14,15,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-ornithine-3OH-C15:0/C14:0,ornithine,15,14,C34H66N2O5,582.4971732263,[M+NH4]+,600.5309987791
diacyl-lysine-3OH-C16:0/C12:0,lysine,16,12,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-lysine-3OH-C10:0/C18:0,lysine,10,18,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-lysine-3OH-C14:0/C14:0,lysine,14,14,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-lysine-3OH-C12:0/C16:0,lysine,12,16,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-lysine-3OH-C18:0/C10:0,lysine,18,10,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-ornithine-3OH-C12:0/C17:0,ornithine,12,17,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-ornithine-3OH-C17:0/C12:0,ornithine,17,12,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-ornithine-3OH-C15:0/C14:0,ornithine,15,14,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-ornithine-3OH-C14:0/C15:0,ornithine,14,15,C34H66N2O5,582.4971732263,[M+Na]+,605.4863939263
diacyl-ornithine-3OH-C14:0/C17:0,ornithine,14,17,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
